,Name,Symbol,Date,Close/Last,Volume,Open,High,Low
2142,"Meta, Inc.",META,2014-06-02,63.08,35946770,3.23,3.59,2.05
2143,"Meta, Inc.",META,2014-05-30,63.3,45224820,3.95,4.17,2.56
2144,"Meta, Inc.",META,2014-05-29,63.83,42333090,3.84,4.3,3.51
2145,"Meta, Inc.",META,2014-05-28,63.51,47746450,3.39,4.14,2.62
2146,"Meta, Inc.",META,2014-05-27,63.48,55546990,1.62,3.51,1.57
2147,"Meta, Inc.",META,2014-05-23,61.351,38210700,0.41,1.45,0.15
2148,"Meta, Inc.",META,2014-05-22,60.52,54067890,0.94,1.48,0.4
2149,"Meta, Inc.",META,2014-05-21,60.49,58814920,8.56,0.5,8.25
2150,"Meta, Inc.",META,2014-05-20,58.56,53804590,9.5,0.19,8.18
2151,"Meta, Inc.",META,2014-05-19,59.21,42968380,7.89,9.56,7.57
2152,"Meta, Inc.",META,2014-05-16,58.0199,47850350,8.31,8.45,7.31
2153,"Meta, Inc.",META,2014-05-15,57.919,56691940,9.26,9.38,7.52
2154,"Meta, Inc.",META,2014-05-14,59.23,47379700,9.53,0.45,8.95
2155,"Meta, Inc.",META,2014-05-13,59.83,48442200,9.66,0.89,9.51
2156,"Meta, Inc.",META,2014-05-12,59.83,48403930,7.98,9.9,7.98
